the	[ðə:]	определенный артикль
building	['bildiŋ]	здание, постройка, сооружение
desk	[desk]	письменный, рабочий стол, парта
hung	[hʌŋ]	прош. вр., прич. прош. вр. от hang
fifty	['fifti]	пятьдесят
gold	[gəuld]	золото
neither	[naiðə]	никакой, ни тот, ни другой
send	[send]	посылать, отправлять
stick	[stik]	палка; прут, трость
straight	[streit]	прямой, честный, прямо
darkness	['da:knəs]	темнота, мрак; ночь
experience	[ik'spiəriən(t)s]	опыт, случай, событие
bar	[ba:]	брусок, кусок, планка, бар, прилавок
imagine	[i'mædʒin]	воображать, представлять себе
ship	[ʃip]	корабль; судно
thus	[ðʌs]	так, таким образом
forget	[fə'get]	забывать о (чём-л.)
nine	[nain]	девять
agree	[ə'gri:]	соглашаться
gotten	['gɔtn]	прич. прош. вр. от get
interior	[in'tiəriə]	внутренняя часть, внутренний
rain	[rein]	дождь
block	[blɔk]	квартал (города), заграждать, преграждать
fix	[fiks]	устанавливать; прикреплять
turning	['tз:niŋ]	отклонение, изменение, поворот
warm	[wɔ:m]	тёплый
whether	['(h)weðə]	ли, любой из двух
dinner	['dinə]	обед, обедать
somewhere	['sʌmwɛə]	где-то, где-нибудь; куда-нибудь
space	[speis]	пространство
chest	[tʃest]	ящик; коробка, сундук
write	[rait]	писать, выписывать
rich	[ritʃ]	богатый, состоятельный
pause	[pɔ:z]	пауза, перерыв; остановка
single	['siŋgl]	один; единственный
yard	[ja:d]	ярд
further	['fз:ðə]	дальнейший, добавочный, дальше
leaving	[liviŋ]	предоставление
soft	[sɔft]	мягкий
allow	[ə'lau]	позволять, разрешать
onto	['ɔntu:]	на; в
pale	[peil]	бледный, бледнеть
tie	[tai]	галстук, узел; бант
beginning	[bi'giniŋ]	начало
ought	[ɔ:t]	выражает долженствование
stare	[stɛə]	вглядываться; уставиться
doctor	['dɔktə]	врач, доктор
sweet	[swi:t]	сладкий, приятный, милый
grin	[grin]	скалить зубы, ухмыляться
escape	[es'keip]	бегство; побег, убежать
press	[pres]	жать, нажимать, печать, пресса
general	['dʒen(ə)r(ə)l]	главный, основной, генеральный, генерал
shout	[ʃaut]	кричать, возглас, крик
aware	[ə'wɛə]	знающий, осведомлённый
consider	[kən'sidə]	рассматривать, думать, полагать
grey	[grei]	серый, седой, пасмурный
card	[ka:d]	карта, карточка
cloud	[klaud]	облако; туча
spot	[spɔt]	пятно, пятнышко; крапинка
situation	[sitʃu'eiʃ(ə)n]	обстановка, положение, ситуация, место
board	[bɔ:d]	доска; планка
clean	[kli:n]	чистый, опрятный
truth	[tru:θ]	правда; истина
explain	[ik'splein]	объяснять; раскрывать
lower	['ləuə]	нижний, низший
machine	[mə'ʃi:n]	машина, механизм; станок
post	[pəust]	почта, корреспонденция, пост
view	[vju:]	вид; пейзаж, точка зрения, мнение
project	['prɔdʒekt]	проект, замысел, план
bottle	['bɔtl]	бутылка, бутыль
broke	[brəuk]	ломал, разбивал, крушил
position	[pə'ziʃ(ə)n]	положение, местоположение
sea	[si:]	море
field	[fi:ld]	поле; луг
fresh	[freʃ]	свежий, натуральный
join	[dʒɔin]	соединять, объединять, присоединяться
worse	[wз:s]	хуже, худшее
fly	[flai]	муха, полёт
offer	['ɔfə]	предлагать
rush	[rʌʃ]	бросаться, мчаться, нестись, бросок, напор
safe	[seif]	безопасный, сейф
jump	[dʒʌmp]	прыгать, скакать
smiling	[smailiŋ]	улыбается
track	[træk]	след, отпечаток, курс, путь
bone	[bəun]	кость
murder	['mз:də]	убийство
creature	['kri:tʃə]	создание, творение
growing	['grəuiŋ]	рост, выращивание
monster	['mɔn(t)stə]	чудовище; изверг, монстр
system	['sistəm]	система, устройство
beat	[bi:t]	бить, колотить, удар
funny	['fʌni]	забавный, смешной
hospital	['hɔspit(ə)l]	больница, госпиталь
playing	[pleiŋ]	играющий, игральный
service	['sз:vis]	служба, обслуживание, сервис
common	['kɔmən]	общий, всеобщий
giving	[giviŋ]	дающий, давая
sudden	['sʌd(ə)n]	внезапный, внезапно
usually	['ju:ʒ(ə)li]	обычно, обыкновенно
settle	['setl]	поселиться, обосноваться
slow	[sləu]	медленный, тихий
threw	[θru:]	бросал, кидал
train	[trein]	тренироваться, поезд, состав
unless	[ʌn'les]	если не; пока не
ass	[æs]	зад, задница, жопа
beneath	[bi'ni:θ]	внизу; ниже
discover	[di'skʌvə]	обнаруживать, находить
tomorrow	[tə'mɔrəu]	завтра
bear	[bɛə]	носить, нести, медведь
cool	[ku:l]	прохладный, свежий, крутой, клёвый
alive	[ə'laiv]	живой, в живых
crowd	[kraud]	толпа, давить, толкать
quarter	['kwɔ:tə]	четверть, четвёртая часть
written	['rit(ə)n]	прич. прош. вр. от write
distance	['dist(ə)n(t)s]	расстояние; дистанция
laid	[leid]	прош. вр., прич. прош. вр. от lay
hat	[hæt]	шляпа, шляпка; шапка
trust	[trʌst]	вера, доверие, надежда
beauty	['bju:ti]	красота
tongue	[tʌŋ]	язык
arrive	[ə'raiv]	прибывать, приезжать
center	['sentə]	центр
drove	[grəuv]	ездил, вёз, гнал
dare	[dɛə]	осмеливаться, сметь
merry	['meri]	весёлый; радостный
moon	[mu:n]	луна, спутник (планеты)
circle	['sз:kl]	круг, круговорот; цикл
leader	['li:də]	руководитель, глава, лидер
conversation	[kɔnvə'seiʃ(ə)n]	разговор, беседа
expression	[ik'spreʃ(ə)n]	выражение
guard	[ga:d]	охрана, защита
truck	[trʌk]	грузовик, обмен, обменивать
effort	['efət]	усилие, попытка; напряжение
fight	[fait]	драться, сражаться, бой, борьба
reading	['ri:diŋ]	чтение
group	[gru:p]	группа; группировка, фракция
mention	['menʃ(ə)n]	упоминание; ссылка
forth	[fɔ:θ]	вперёд, дальше, впредь
haven	['heiv(ə)n]	гавань, порт, убежище, укрытие
strength	[streŋθ]	сила
gate	[geit]	ворота; дверь, калитка
radio	['reidiəu]	радио, радиовещание
sick	[sik]	больной, болезненный; нездоровый
mad	[mæd]	сумасшедший, ненормальный
writing	['raitiŋ]	письмо, писание
library	['laibr(ə)ri]	библиотека
music	['mju:zik]	музыка
paid	[peid]	платил, заплатил
immediately	[i'mi:diətli]	прямо, непосредственно
tall	[tɔ:l]	высокий
action	['ækʃ(ə)n]	действие, поступок; акция
evil	['i:vil]	зло; вред; убыток, ущерб
wet	[wet]	мокрый, влажный
concern	[kən'sз:n]	проблема; вопрос, интерес
dad	[dæd]	папа, папочка
especially	[is'peʃ(ə)li]	особенно, в особенности
purpose	['pз:pəs]	цель, намерение
enemy	['enəmi]	враг, вражеский
special	['spe?(?)l]	особый, особенный, специальный
boss	[bɔs]	хозяин, шеф, босс
likely	['laikli]	вероятный, возможный, вероятно
soul	[səul]	душа; сердце
speaking	['spi:kiŋ]	беседа, разговор, говорящий
spirit	['spirit]	дух, привидение
boat	[bəut]	лодка; шлюпка
cigarette	[sig(ə)'ret]	сигарета; папироса
faint	[feint]	слабый, ослабевший; вялый
perfect	['pз:fikt]	совершенный, безупречный
enjoy	[in'dʒɔi]	наслаждаться
flat	[flæt]	плоский, плоскость, квартира
blow	[bləu]	веять, дуть, дуновение
forty	['fɔ:ti]	сорок
simple	['simpl]	несложный, простой, лёгкий
dozen	['dʌz(ə)n]	дюжина
hello	['he'ləu]	привет! алло!
self	[self]	собственная личность, своё "я"
everybody	['evribɔdi]	каждый, всякий человек; все
flash	[flæʃ]	вспышка, сверкание
gain	[gein]	добывать, зарабатывать
shock	[ʃɔk]	потрясение, удар; шок
charge	[tʃa:dʒ]	заряжать
danger	['deindʒə]	опасность
impossible	[im'pɔsədl]	невозможный, невыполнимый
hi	[hai]	здорово!, привет!
million	['miljən]	миллион
pack	[pæk]	пачка, упаковывать, запаковывать
thoracic	[θɔ'rasik]	грудной
knowing	['nəuiŋ]	знание, осведомлённость
public	['rʌblik]	общественный; государственный, публика
stream	[stri:m]	поток, река, ручей
han	[hæn]	китаец; китаянка
mostly	['məustli]	главным образом, по большей части
shoe	[ʃu:]	туфля; полуботинок
eating	['i:tiŋ]	принятие пищи; еда, едящий
flower	['flauə]	цветок
grass	[gra:s]	трава, травинка; дёрн
history	['hist(ə)ri]	история
prove	[pru:v]	доказывать
song	[sɔŋ]	песня; романс
affair	[ə'fзə]	дело, событие, мероприятие
carefully	['kзəfuli]	тщательно, внимательно
natural	[nætʃ(ə)r(ə)l]	естественный, природный, натуральный
thick	[θik]	толстый; полный
manage	['mænidʒ]	руководить, управлять
marriage	['mæridʒ]	брак, супружество; замужество
spent	[spent]	прош. вр., прич. прош. вр. от spend
art	[a:t]	искусство
easily	['i:zili]	легко; свободно
